Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,0.715656,0.715656,0.711182,0.715676,0.715676,0
2016-02-02,0.716743,0.716846,0.710273,0.716846,0.716846,0
2016-02-03,0.710879,0.722596,0.709265,0.711238,0.711238,0
2016-02-04,0.725005,0.733122,0.725005,0.724942,0.724942,0
2016-02-05,0.726956,0.729400,0.722350,0.726998,0.726998,0
2016-02-08,0.720202,0.722491,0.715451,0.720305,0.720305,0
2016-02-09,0.718030,0.725137,0.716384,0.718133,0.718133,0
2016-02-10,0.720357,0.723448,0.716717,0.720295,0.720295,0
2016-02-11,0.718252,0.720321,0.713806,0.718236,0.718236,0
2016-02-12,0.718489,0.720254,0.716184,0.718582,0.718582,0
2016-02-15,0.722700,0.724795,0.721938,0.722710,0.722710,0
2016-02-16,0.723495,0.728821,0.718995,0.723490,0.723490,0
2016-02-17,0.721501,0.729884,0.719751,0.721230,0.721230,0
2016-02-18,0.731037,0.732493,0.729522,0.731133,0.731133,0
2016-02-19,0.727988,0.728120,0.722340,0.727913,0.727913,0
2016-02-22,0.725211,0.731941,0.725211,0.725216,0.725216,0
2016-02-23,0.729773,0.730300,0.724695,0.729767,0.729767,0
2016-02-24,0.724858,0.726164,0.721574,0.724795,0.724795,0
2016-02-25,0.729773,0.736469,0.728200,0.729767,0.729767,0
2016-02-26,0.738443,0.740412,0.737354,0.738334,0.738334,0
2016-02-29,0.738002,0.741675,0.736095,0.738171,0.738171,0
2016-03-01,0.738689,0.743992,0.738035,0.738694,0.738694,0
2016-03-02,0.744823,0.745657,0.740845,0.744768,0.744768,0
2016-03-03,0.744668,0.747462,0.742247,0.744657,0.744657,0
2016-03-04,0.745857,0.748178,0.742391,0.745935,0.745935,0
2016-03-07,0.749906,0.752044,0.747585,0.750188,0.750188,0
2016-03-08,0.752389,0.752559,0.745862,0.752276,0.752276,0
2016-03-09,0.745323,0.752293,0.743716,0.745323,0.745323,0
2016-03-10,0.754888,0.755287,0.750796,0.754848,0.754848,0
2016-03-11,0.749788,0.759244,0.749569,0.749749,0.749749,0
2016-03-14,0.755481,0.757002,0.751597,0.755532,0.755532,0
2016-03-15,0.753290,0.753636,0.746380,0.753421,0.753421,0
